fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2019,Cleveland Clinic,533182985.0,2748137966.34,343124646.68,190058338.32,4013299122.95,5924662243.19,1560727436.71,8855347511.0,13,2,3281320951.34,7294620074.29,0.3705468302925419,0.4532062821887826,0.6690490955697063,0.8237531124813245
2022,Cleveland Clinic,702422669.0,2572934085.6800003,452808441.38,249614227.62,5214350173.91,7156280922.780001,2027802845.41,10517509774.0,13,2,3275356754.6800003,8489706928.59,0.3114194162934752,0.4957780202686598,0.6804159041972858,0.807197436562135
2021,Cleveland Clinic,690423171.0,2581648547.65,445017185.3,245405985.7,4675872067.440001,6613596146.88,1818394692.91,9766338479.0,13,2,3272071718.65,7947943786.09,0.3350356662003625,0.47877432033451034,0.6771827702982892,0.8138099865348728
2018,UPMC,806910965.0,2386454241.47,447699556.91,359211408.09,4113734439.2799997,6031467495.84,1599785615.25,8906885261.0,29,3,3193365206.47,7307099645.75,0.35852771343677015,0.46186004632759126,0.6771691022280926,0.8203877597643615
2017,UPMC,827194393.0,2345253183.56,458568119.48,368626273.52000004,3822742662.77,5733027708.49,1486622146.67,8481812386.0,29,3,3172447576.56,6995190239.33,0.37402944467345356,0.45069879983195377,0.6759201273955177,0.8247282445054073
2018,Cleveland Clinic,496336828.0,2668449378.5299997,319342949.19,176993878.81,3672986009.38,5512885788.59,1428383448.0900002,8266155664.0,13,2,3164786206.5299997,6837772215.91,0.38286070758538765,0.44434029053871443,0.6669225711051163,0.8272009981241021
2022,THE NEW YORK AND PRESBYTERIAN HOSPITAL,1181734568.0,1979117470.52,590867284.0,590867284.0,3262155246.35,5236970781.14,1268615929.13,7691623214.0,1,1,3160852038.52,6423007284.87,0.4109473319970663,0.4241179209626843,0.6808667865591577,0.8350652529597506
2019,UPMC,819538617.0,2321867684.38,455020839.38,364517777.62,4225430393.0,6117111582.18,1643222930.6200001,9010059625.0,28,3,3141406301.38,7366836694.38,0.34865543982235303,0.46896808332719553,0.6789202110502127,0.8176235231495486
2017,Cleveland Clinic,499705097.0,2625624231.8300004,321842959.01,177862137.99,3375486132.6200004,5194358282.87,1312689051.55,7813504513.0,13,2,3125329328.8300004,6500815461.450001,0.39999072421729853,0.43200667856579766,0.6647923827557403,0.8319974027830962
2022,"ST. LUKE'S UNIVERSITY HEALTH NETWORK, INC",187413528.0,2923683287.82,103892457.82,83521070.18,5012671636.2,6761257590.509999,1949372302.9799998,10073140755.0,9,2,3111096815.82,8123768452.02,0.30885072406793745,0.497627478670132,0.6712164313949368,0.8064782027380695
2016,Mayo Clinic,207177800.0,2893405253.81,108096980.42,99080819.58,2502537027.4,4249293266.98,705786622.79,6308906704.0,21,5,3100583053.81,5603120081.21,0.49146123080947685,0.39666730620906643,0.6735387708754427,0.8881285370185433
2022,STANFORD HEALTH CARE,468433110.0,2605182298.2200003,234216555.0,234216555.0,2991757026.08,4775932122.610001,1163461065.7,7228833500.0,2,1,3073615408.2200003,6065372434.3,0.4251882974230905,0.41386442585515354,0.6606781194517761,0.839052723278244
2021,Kaiser Permanente,946284963.0,2118865587.6,479347659.04,466937303.96,13249188172.37,15124277967.8,5152462067.03,21466800790.0,38,4,3065150550.6,16314338722.970001,0.14278562421037866,0.6171943505686206,0.7045427083315287,0.7599799747789993
2021,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1934789447.0,1129448513.1100001,967394723.5,967394723.5,4400595137.74,6472883905.21,600081155.15,8064914253.0,11,1,3064237960.11,7464833097.85,0.3799467500810886,0.5456468599282452,0.8025979820928916,0.9255936100093339
2016,UPMC,814331209.0,2241340488.95,451844272.58,362486936.42,3560163573.62,5403649249.31,1384508056.4299998,8000343328.0,26,3,3055671697.95,6615835271.57,0.38194257079638166,0.44500134902460525,0.6754271695313424,0.8269439198209869
2021,NYU LANGONE HEALTH SYSTEM,838669838.0,2189640355.64,419334919.0,419334919.0,2766644388.26,4599948962.36,1075917262.1,6870871844.0,2,1,3028310193.64,5794954581.9,0.44074613271741875,0.40266278444357495,0.6694854840549693,0.8434089171609936
2014,Cleveland Clinic,406700869.0,2618524957.72,261087923.12,145612945.88,3091855580.84,4837069959.34,1202388281.44,7319469689.0,12,2,3025225826.72,6117081407.559999,0.413312159932356,0.4224152448484851,0.6608497835040356,0.8357274047808411
2016,Cleveland Clinic,461144805.0,2528093071.58,297692551.13,163452253.87,3287418694.14,5023728487.26,1278440603.28,7555097174.0,12,2,2989237876.58,6276656570.719999,0.39565842870520834,0.43512593133193234,0.6649455819772359,0.8307843600371406
2015,Mayo Clinic,258312285.0,2713677137.22,134125375.2,124186909.8,2314794288.2000003,4001050927.4300003,652489760.58,5939273471.0,21,5,2971989422.22,5286783710.42,0.5003961236557783,0.3897436781624162,0.6736599934261556,0.8901398018181945
2014,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,1894897000.0,1026583153.14,947448500.0,947448500.0,3176365746.44,5162159230.68,500177234.42,6598023134.0,11,1,2921480153.14,6097845899.58,0.4427811321372066,0.48141173226144074,0.7823796803741246,0.9241928643986473
2022,Banner Health,949425089.0,1968126107.02,602931863.66,346493225.34,4846245887.48,6640784063.1,1884651178.5,9648448262.0,27,6,2917551196.02,7763797083.5,0.302385535662833,0.5022824143201069,0.6882748274926699,0.80466794998294
2020,NYU LANGONE HEALTH SYSTEM,767164834.0,2103963260.17,383582417.0,383582417.0,2608062796.68,4340616215.2699995,1014246643.15,6493437534.0,2,1,2871128094.17,5479190890.85,0.44215842212027356,0.40164593607377264,0.668461996060221,0.8438043581940462
2019,THE NEW YORK AND PRESBYTERIAN HOSPITAL,933913985.0,1930086421.89,466956992.5,466956992.5,2559270297.68,4321253318.47,995271782.43,6418542487.0,1,1,2864000406.8900003,5423270704.57,0.4462072834589309,0.3987307559096944,0.6732452620236119,0.8449380393686252
2015,UPMC,759983999.0,2102451183.1,421169228.03999996,338814770.96,3551452447.62,5277788597.59,1381120396.28,7795008026.0,26,3,2862435182.1,6413887629.719999,0.3672138851624577,0.4556060026845699,0.6770728881851186,0.8228198878470275
2020,Cleveland Clinic,586798745.0,2246995854.3900003,379433967.71999997,207364777.28,3669945739.65,5345892518.32,1427201120.96,7930941460.0,12,2,2833794599.3900003,6503740339.040001,0.3573087273033535,0.46273771634294725,0.6740552234917139,0.8200464436463009
2021,THE NEW YORK AND PRESBYTERIAN HOSPITAL,988790388.0,1812272372.89,494395194.0,494395194.0,2937270164.48,4675612760.57,1142271730.63,6880604656.0,1,1,2801062760.8900003,5738332925.370001,0.4070954372371079,0.4268912851893986,0.6795351563314699,0.8339867224265066
2023,Adventist Health,1120894874.0,1678145672.18,573748134.3,547146739.7,1884059925.71,3647711200.89,732689971.11,5415790443.0,21,4,2799040546.1800003,4683100471.89,0.5168295515934903,0.3478827228526132,0.6735325598878604,0.8647122744461034
2014,Mayo Clinic,163850317.0,2633952783.98,86193232.26,77657084.74,2161576428.4700003,3733138197.42,617510491.55,5576890021.0,21,5,2797803100.98,4959379529.450001,0.5016780123769272,0.3875953121418028,0.6693942651482673,0.8892733245187301
